className,vulnerability,Description,CWE,Detail
CipherExample01,False,Correct use of AES/GCM/NoPadding,327,Valid crypto-schema
CipherExample02,True,Replace AES/GCM/NoPadding by DES,327,String manipulation 
CipherExample03,True,Replace AESS by DES,327,String manipulation
CipherExample04,True,AES without mode,327,AES without mode
CipherExample05,True,Call to method B changes the cipher to DES,327,Interprocedural analysis
CipherExample06,True,AES without mode using a variable,327,AES without mode using a variable
CipherExample07,True,Use of des (lower case),327,Use of des (lower case)
CipherExample08,True,Use of Blowfish/CFB8/NoPadding,327,Invalid crypto-schema
CipherExample09,True,Use of AES without mode (via KeyGen),327,Use of AES without mode (via KeyGen)
CipherExample10,True,Use of DES (via KeyGen),327,Use of DES (via KeyGen)
CipherExample11,True,Use of Blowfish/CFB8/NoPadding (via KeyGen),327,Invalid crypto-schema
CipherExample12,True,Use of "des".toUpperCase(),327,String manipulation 
CipherExample13,True,Use of "DE$S".replace("$" - ""),327,String manipulation 
BaseStaticIV,True,IV initialized without a random array of bytes,329,IV initialized without a random array of bytes
ComplexStaticIV,True,IV initialized without a random array of bytes,329,IV initialized without a random array of bytes
StashStaticIV,True,IV initialized without a random array of bytes,329,IV initialized without a random array of bytes
CurrentTimeIV,True,IV initialized without a random array of bytes,329,IV initialized without a random array of bytes
MD01,True,Message Digest using MD5,328,Message Digest using MD5
MD02,True,Message Digest using MD5 (via variable),328,Message Digest using MD5 (via variable)
MD03,True,Message Digest using MD5 (SHA-256 replaced by md5),328,String manipulation
MD04,True,Message Digest using md5,328,Message Digest using md5
MD05,True,Call to method B changes the cipher to MD5,328,Interprocedural analysis
MD06,True,Message Digest using MD5 (SHA-256 replaced by MD5),328,Interprocedural analysis
MD07,True,Use of "md5".toUpperCase,328,String manipulation
MD08,True,Use of "MD$5".replace("$" - ""),328,String manipulation
SecureRand01,True,Use of hard-coded seed in the setSeed method,330,hard-coded seed
SecureRand02,True,Use of hard-coded seed (NativePRNG instance),330,hard-coded seed
SecureRand03,True,Use of hard-coded seed in the SecureRandom constructor,330,hard-coded seed
ContextOfSSL,True,Use of insecure "SSL" algorithm,327,Use of insecure "SSL" algorithm
