spec,error,class,className,method
CipherSpec,"First parameter (with value 'RC2') should be any of {AES, PBEWithHmacSHA224AndAES_128, PBEWithHmacSHA256AndAES_128, PBEWithHmacSHA384AndAES_128, PBEWithHmacSHA512AndAES_128, PBEWithHmacSHA224AndAES_256, PBEWithHmacSHA256AndAES_256, PBEWithHmacSHA384AndAES_256, PBEWithHmacSHA512AndAES_256}. ConstraintError violating CrySL rule for javax.crypto.Cipher.",org.cryptoapi.bench.brokencrypto.BrokenCryptoABICase4,BrokenCryptoABICase4,go
KeyGeneratorSpec,"First parameter (with value 'RC2') should be any of {AES, HmacSHA256, HmacSHA384, HmacSHA512}. ConstraintError violating CrySL rule for javax.crypto.KeyGenerator.",org.cryptoapi.bench.brokencrypto.BrokenCryptoABICase4,BrokenCryptoABICase4,go
CipherSpec,"Second parameter was not properly generated as generated Key. RequiredPredicateError violating CrySL rule for javax.crypto.Cipher.",org.cryptoapi.bench.brokencrypto.BrokenCryptoABICase4,BrokenCryptoABICase4,go
KeyGeneratorSpec,"First parameter (with value 'DES') should be any of {AES, HmacSHA256, HmacSHA384, HmacSHA512}. ConstraintError violating CrySL rule for javax.crypto.KeyGenerator.",org.cryptoapi.bench.brokencrypto.BrokenCryptoABICase15,BrokenCryptoABICase15,method1
CipherSpec,"First parameter (with value 'DES') should be any of {AES, PBEWithHmacSHA224AndAES_128, PBEWithHmacSHA256AndAES_128, PBEWithHmacSHA384AndAES_128, PBEWithHmacSHA512AndAES_128, PBEWithHmacSHA224AndAES_256, PBEWithHmacSHA256AndAES_256, PBEWithHmacSHA384AndAES_256, PBEWithHmacSHA512AndAES_256}. ConstraintError violating CrySL rule for javax.crypto.Cipher.",org.cryptoapi.bench.brokencrypto.BrokenCryptoABICase15,BrokenCryptoABICase15,method1
CipherSpec,"Second parameter was not properly generated as generated Key. RequiredPredicateError violating CrySL rule for javax.crypto.Cipher.",org.cryptoapi.bench.brokencrypto.BrokenCryptoABICase15,BrokenCryptoABICase15,method1
CipherSpec,"First parameter (with value 'Blowfish') should be any of {AES, PBEWithHmacSHA224AndAES_128, PBEWithHmacSHA256AndAES_128, PBEWithHmacSHA384AndAES_128, PBEWithHmacSHA512AndAES_128, PBEWithHmacSHA224AndAES_256, PBEWithHmacSHA256AndAES_256, PBEWithHmacSHA384AndAES_256, PBEWithHmacSHA512AndAES_256}. ConstraintError violating CrySL rule for javax.crypto.Cipher.",org.cryptoapi.bench.brokencrypto.BrokenCryptoABPSCase2,BrokenCryptoABPSCase2,go
CipherSpec,"Second parameter was not properly generated as generated Key. RequiredPredicateError violating CrySL rule for javax.crypto.Cipher.",org.cryptoapi.bench.brokencrypto.BrokenCryptoABPSCase2,BrokenCryptoABPSCase2,go
CipherSpec,"First parameter (with value 'Blowfish') should be any of {AES, PBEWithHmacSHA224AndAES_128, PBEWithHmacSHA256AndAES_128, PBEWithHmacSHA384AndAES_128, PBEWithHmacSHA512AndAES_128, PBEWithHmacSHA224AndAES_256, PBEWithHmacSHA256AndAES_256, PBEWithHmacSHA384AndAES_256, PBEWithHmacSHA512AndAES_256}. ConstraintError violating CrySL rule for javax.crypto.Cipher.",org.cryptoapi.bench.brokencrypto.Crypto3,Crypto3,encrypt
CipherSpec,"Second parameter was not properly generated as generated Key. RequiredPredicateError violating CrySL rule for javax.crypto.Cipher.",org.cryptoapi.bench.brokencrypto.Crypto3,Crypto3,encrypt
CipherSpec,"Unexpected call to method doFinal on object of type javax.crypto.Cipher. Expect a call to one of the following methods init,updateAAD. TypestateError violating CrySL rule for javax.crypto.Cipher.",org.cryptoapi.bench.brokencrypto.Crypto3,Crypto3,encrypt
KeyGeneratorSpec,"First parameter (with value 'Blowfish') should be any of {AES, HmacSHA256, HmacSHA384, HmacSHA512}. ConstraintError violating CrySL rule for javax.crypto.KeyGenerator.",org.cryptoapi.bench.brokencrypto.Crypto3,Crypto3,encrypt
KeyGeneratorSpec,"First parameter (with value 'DES') should be any of {AES, HmacSHA256, HmacSHA384, HmacSHA512}. ConstraintError violating CrySL rule for javax.crypto.KeyGenerator.",org.cryptoapi.bench.brokencrypto.BrokenCryptoABMC5,BrokenCryptoABMC5,go
CipherSpec,"First parameter (with value 'DES') should be any of {AES, PBEWithHmacSHA224AndAES_128, PBEWithHmacSHA256AndAES_128, PBEWithHmacSHA384AndAES_128, PBEWithHmacSHA512AndAES_128, PBEWithHmacSHA224AndAES_256, PBEWithHmacSHA256AndAES_256, PBEWithHmacSHA384AndAES_256, PBEWithHmacSHA512AndAES_256}. ConstraintError violating CrySL rule for javax.crypto.Cipher.",org.cryptoapi.bench.brokencrypto.BrokenCryptoABMC5,BrokenCryptoABMC5,go
CipherSpec,"Second parameter was not properly generated as generated Key. RequiredPredicateError violating CrySL rule for javax.crypto.Cipher.",org.cryptoapi.bench.brokencrypto.BrokenCryptoABMC5,BrokenCryptoABMC5,go
KeyGeneratorSpec,"First parameter (with value 'DES') should be any of {AES, HmacSHA256, HmacSHA384, HmacSHA512}. ConstraintError violating CrySL rule for javax.crypto.KeyGenerator.",org.cryptoapi.bench.brokencrypto.BrokenCryptoABMC1,BrokenCryptoABMC1,go
CipherSpec,"First parameter (with value 'DES/ECB/PKCS5Padding') should be any of {AES, PBEWithHmacSHA224AndAES_128, PBEWithHmacSHA256AndAES_128, PBEWithHmacSHA384AndAES_128, PBEWithHmacSHA512AndAES_128, PBEWithHmacSHA224AndAES_256, PBEWithHmacSHA256AndAES_256, PBEWithHmacSHA384AndAES_256, PBEWithHmacSHA512AndAES_256}. ConstraintError violating CrySL rule for javax.crypto.Cipher.",org.cryptoapi.bench.brokencrypto.BrokenCryptoABMC1,BrokenCryptoABMC1,go
CipherSpec,"Second parameter was not properly generated as generated Key. RequiredPredicateError violating CrySL rule for javax.crypto.Cipher.",org.cryptoapi.bench.brokencrypto.BrokenCryptoABMC1,BrokenCryptoABMC1,go
KeyGeneratorSpec,"First parameter (with value 'RC4') should be any of {AES, HmacSHA256, HmacSHA384, HmacSHA512}. ConstraintError violating CrySL rule for javax.crypto.KeyGenerator.",org.cryptoapi.bench.brokencrypto.BrokenCryptoABICase13,BrokenCryptoABICase13,method1
CipherSpec,"Second parameter was not properly generated as generated Key. RequiredPredicateError violating CrySL rule for javax.crypto.Cipher.",org.cryptoapi.bench.brokencrypto.BrokenCryptoABICase13,BrokenCryptoABICase13,method1
CipherSpec,"First parameter (with value 'RC4') should be any of {AES, PBEWithHmacSHA224AndAES_128, PBEWithHmacSHA256AndAES_128, PBEWithHmacSHA384AndAES_128, PBEWithHmacSHA512AndAES_128, PBEWithHmacSHA224AndAES_256, PBEWithHmacSHA256AndAES_256, PBEWithHmacSHA384AndAES_256, PBEWithHmacSHA512AndAES_256}. ConstraintError violating CrySL rule for javax.crypto.Cipher.",org.cryptoapi.bench.brokencrypto.BrokenCryptoABICase13,BrokenCryptoABICase13,method1
CipherSpec,"First parameter (with value 'Blowfish') should be any of {AES, PBEWithHmacSHA224AndAES_128, PBEWithHmacSHA256AndAES_128, PBEWithHmacSHA384AndAES_128, PBEWithHmacSHA512AndAES_128, PBEWithHmacSHA224AndAES_256, PBEWithHmacSHA256AndAES_256, PBEWithHmacSHA384AndAES_256, PBEWithHmacSHA512AndAES_256}. ConstraintError violating CrySL rule for javax.crypto.Cipher.",org.cryptoapi.bench.brokencrypto.BrokenCryptoABICase2,BrokenCryptoABICase2,go
KeyGeneratorSpec,"First parameter (with value 'Blowfish') should be any of {AES, HmacSHA256, HmacSHA384, HmacSHA512}. ConstraintError violating CrySL rule for javax.crypto.KeyGenerator.",org.cryptoapi.bench.brokencrypto.BrokenCryptoABICase2,BrokenCryptoABICase2,go
CipherSpec,"Second parameter was not properly generated as generated Key. RequiredPredicateError violating CrySL rule for javax.crypto.Cipher.",org.cryptoapi.bench.brokencrypto.BrokenCryptoABICase2,BrokenCryptoABICase2,go
CipherSpec,"First parameter (with value 'RC2') should be any of {AES, PBEWithHmacSHA224AndAES_128, PBEWithHmacSHA256AndAES_128, PBEWithHmacSHA384AndAES_128, PBEWithHmacSHA512AndAES_128, PBEWithHmacSHA224AndAES_256, PBEWithHmacSHA256AndAES_256, PBEWithHmacSHA384AndAES_256, PBEWithHmacSHA512AndAES_256}. ConstraintError violating CrySL rule for javax.crypto.Cipher.",org.cryptoapi.bench.brokencrypto.BrokenCryptoABPSCase4,BrokenCryptoABPSCase4,go
CipherSpec,"Second parameter was not properly generated as generated Key. RequiredPredicateError violating CrySL rule for javax.crypto.Cipher.",org.cryptoapi.bench.brokencrypto.BrokenCryptoABPSCase4,BrokenCryptoABPSCase4,go
CipherSpec,"Unexpected call to method doFinal on object of type javax.crypto.Cipher. Expect a call to one of the following methods init,updateAAD. TypestateError violating CrySL rule for javax.crypto.Cipher.",org.cryptoapi.bench.brokencrypto.Crypto5,Crypto5,encrypt
CipherSpec,"First parameter (with value 'RC2') should be any of {AES, PBEWithHmacSHA224AndAES_128, PBEWithHmacSHA256AndAES_128, PBEWithHmacSHA384AndAES_128, PBEWithHmacSHA512AndAES_128, PBEWithHmacSHA224AndAES_256, PBEWithHmacSHA256AndAES_256, PBEWithHmacSHA384AndAES_256, PBEWithHmacSHA512AndAES_256}. ConstraintError violating CrySL rule for javax.crypto.Cipher.",org.cryptoapi.bench.brokencrypto.Crypto5,Crypto5,encrypt
KeyGeneratorSpec,"First parameter (with value 'RC2') should be any of {AES, HmacSHA256, HmacSHA384, HmacSHA512}. ConstraintError violating CrySL rule for javax.crypto.KeyGenerator.",org.cryptoapi.bench.brokencrypto.Crypto5,Crypto5,encrypt
CipherSpec,"Second parameter was not properly generated as generated Key. RequiredPredicateError violating CrySL rule for javax.crypto.Cipher.",org.cryptoapi.bench.brokencrypto.Crypto5,Crypto5,encrypt
CipherSpec,"First parameter (with value 'DES/ECB/PKCS5Padding') should be any of {AES, PBEWithHmacSHA224AndAES_128, PBEWithHmacSHA256AndAES_128, PBEWithHmacSHA384AndAES_128, PBEWithHmacSHA512AndAES_128, PBEWithHmacSHA224AndAES_256, PBEWithHmacSHA256AndAES_256, PBEWithHmacSHA384AndAES_256, PBEWithHmacSHA512AndAES_256}. ConstraintError violating CrySL rule for javax.crypto.Cipher.",org.cryptoapi.bench.brokencrypto.BrokenCryptoABICase11,BrokenCryptoABICase11,method1
KeyGeneratorSpec,"First parameter (with value 'DES') should be any of {AES, HmacSHA256, HmacSHA384, HmacSHA512}. ConstraintError violating CrySL rule for javax.crypto.KeyGenerator.",org.cryptoapi.bench.brokencrypto.BrokenCryptoABICase11,BrokenCryptoABICase11,method1
